dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
MNIST,0,LazyRF[t=0.900],0.9691,0.5387003421783447,15.306,0.07639701824274953,0.0013000000000000789,0.84694,0.041155099868774414,0.9,
MNIST,0,LazyRF[t=0.970],0.97,0.5665254592895508,18.908,0.07264474913516653,0.00040000000000006697,0.81092,0.041155099868774414,0.97,
MNIST,0,LazyRF[t=0.990],0.9704,0.5981087684631348,22.245,0.06880872182249417,0.0,0.77755,0.041155099868774414,0.99,
MNIST,0,LazyGBM[s=2.00],0.9418,2.205369234085083,81.0,0.07176927453643459,0.0040000000000000036,0.18999999999999995,0.1582777500152588,,2.0
MNIST,0,LazyGBM[s=4.00],0.9418,2.2303543090820312,81.0,0.07096529433496274,0.0040000000000000036,0.18999999999999995,0.1582777500152588,,4.0
Covertype,0,LazyRF[t=0.900],0.9261,1.5559148788452148,16.249,0.045639582101079074,0.0010749999999999371,0.83751,0.07101130485534668,0.9,
Covertype,0,LazyRF[t=0.970],0.92725,1.831923484802246,21.15,0.03876324827126296,-7.500000000004725e-05,0.7885,0.07101130485534668,0.97,
Covertype,0,LazyRF[t=0.990],0.9273,2.0784645080566406,25.4075,0.034165271805262666,-0.00012500000000004174,0.745925,0.07101130485534668,0.99,
Covertype,0,LazyGBM[s=2.00],0.769975,0.8486588001251221,80.998425,0.27744032714403827,0.00495000000000001,0.19001575000000004,0.23545217514038086,,2.0
Covertype,0,LazyGBM[s=4.00],0.769975,0.8623199462890625,80.99935,0.2730450294622476,0.00495000000000001,0.19000649999999997,0.23545217514038086,,4.0
Higgs,0,LazyRF[t=0.900],0.72055,0.877521276473999,32.87475,0.07356372930325591,0.0018500000000000183,0.6712525,0.06455373764038086,0.9,
Higgs,0,LazyRF[t=0.970],0.72225,1.2330663204193115,48.18875,0.05235220244960464,0.0001500000000000945,0.5181125,0.06455373764038086,0.97,
Higgs,0,LazyRF[t=0.990],0.72245,1.4196467399597168,56.28,0.04547169082515035,-4.999999999999449e-05,0.43720000000000003,0.06455373764038086,0.99,
Higgs,0,LazyGBM[s=2.00],0.712925,0.14597368240356445,69.674,0.3096635731995335,0.0,0.30326,0.04520273208618164,,2.0
Higgs,0,LazyGBM[s=4.00],0.712925,0.15866470336914062,79.57,0.2848946938186714,0.0,0.20430000000000004,0.04520273208618164,,4.0
Credit Card,0,LazyRF[t=0.900],0.999475,0.20335102081298828,10.02175,0.13510709143690586,-2.5000000000052758e-05,0.8997824999999999,0.027474164962768555,0.9,
Credit Card,0,LazyRF[t=0.970],0.99945,0.19285058975219727,10.04125,0.1424634739155913,0.0,0.8995875,0.027474164962768555,0.97,
Credit Card,0,LazyRF[t=0.990],0.99945,0.1966252326965332,10.04725,0.13972858206439628,0.0,0.8995275,0.027474164962768555,0.99,
Credit Card,0,LazyGBM[s=2.00],0.99905,0.06792092323303223,9.9962,0.2557875042561631,0.0,0.900038,0.017373323440551758,,2.0
Credit Card,0,LazyGBM[s=4.00],0.99905,0.07004332542419434,10.0061,0.24803681628957427,0.0,0.899939,0.017373323440551758,,4.0
